Order	Ref	disable	element	style	rank	test	test2	nextstyle1	nextstyle2	class-extra	class	message	note	Valid_occurance	Invalid_occurance	note_prior	note_prior_prior
117	12.8.2		para	n3	5	$countpres5 > $countpren2				pre	err-para-n3-pre-12-8-2	The \\n3 occurs before any \\n2 in this \\s5 note group.		XXD 12:5; 12.7			
118	12.8.3	TRUE	para	n3		not(contains($pren1tec,$curtec))	$countpres5 < $countpren1			pre	err-para-n3-pre-12-8-3	This should be an \\n1 paragraph since the content is not found in the preceding \\n1 \\tec.			-		
119	12.9	TRUE	char	tec		($countpres5 < $countpren2) and ($countpres5 < $countpren1) and not($hasellipsis)	not(contains($pretec,.))			mid	err-char-tec-mid-12-9	The contents of this \\tec is not found in the preceding \\tec.			-		
120	12.9.1	TRUE	char	tec		$countpres5 < $countpren2 and $countpres5 < $countpren1 and $hasellipsis 	not(contains($pretec,$preellipsisstring) and contains($pretec,$postellipsisstring))			mid	err-char-tec-mid-12-9-1	The contents of this \\tec is not found in the preceding \\tec.			-		
121	13.1	TRUE	para	n3		not(*[@style = 'tec'])					err-para-n3--13-1	There should be a \\tec character style in this \\n3 paragraph	SC 5 Dec: This seems redundant with 13.2. Perhaps better would be to test for not two tec in one paragraph, like 10.1.		-		
122	13.2	TRUE	para	n3		not(node()[1] = *[@style = 'tec'])					err-para-n3--13-2	There should be text in \\tec formatting at the beginning of this paragraph			-		
123	14.1		para	n1		position() != last()	post=n1 n2 n3 ntn qp q1tn q2tn b b2 b3 p s5 li1 hb1 s3 c gra			post	err-para-n1-post-14-1	Only these paragraphs are allowed after a \\n1: \\n1 \\n2 \\n3 \\ntn \\qp \\q1tn \\q2tn \\b \\b2 \\b3 \\p \\s5 \\li1 \\hb1 \\s3 \\gra \\c.		XXD 14:1			
124	14.2		para	qp		preceding-sibling::*[1][@style = 'qp']				pre	err-para-qp-pre-14-2	Two \\qp paragraphs, one after the other, are not allowed, unless it is one example with two paragraphs, or you are illustrating parallel lines of Hebrew poetry.		XXD 14:1			
125	15.1		para	b3		$hasvhyphen and not($posts5hasendashvr2) and not($posts5hasleftround)	$posts5v != $curvr1			post	err-para-b3-post-15-1	The first \\s5 below should include the first verse in the \\v verse range here.				(old messages below)	
126	15.2		para	p		$hasvhyphen and not($posts5hasendashvr2) and not($posts5hasleftround)	$posts5v != $curvr1			pre	err-para-p-post-15-2	The first \\s5 below should include the first verse in the \\v verse range here.				There should be an \\s5 after this that matches the first verse in the verse range. Or the \\s5 should have a verse range.	
127	15.3	TRUE	para	b3		$prevhyphen and not($pres5hasendashvr2 or $pres5hasleftround) 	$pres5v != $preverser2			post	err-para-b3-pre-15-3	The last \\s5 above (in the previous verse range) should include the last verse in the previous \\v verse range.				There should be an \\s5 before this that matches the last verse in the preceding verse range.	
128	15.4	TRUE	para	p		$prevhyphen and not($pres5hasendashvr2 or $pres5hasleftround) 	$pres5v != $preverser2			pre	err-para-p-pre-15-4	The last \\s5 above (in the previous verse range) should include the last verse in the previous \\v verse range.					
129	15.5		para	b3		$hasvhyphen and not($posts5beforevhasvr2) and not($posts5beforevhaslrb) 	not(contains($values5beforev,concat(':',$curvr2)))			post	err-para-b3-post-15-5	The last \\s5 below (in this verse range) should include the last verse in this \\v verse range.					
130	15.6		para	p		$hasvhyphen and not($posts5beforevhasvr2) and not($posts5beforevhaslrb) 	not(contains($values5beforev,concat(':',$curvr2)))			post	err-para-p-post-15-6	The last \\s5 below (in this verse range) should include the last verse in this \\v verse range.					
131	15.7		char	fr		$hascvref or $hasbadcvref				mid	err-char-fr-mid-15-7	Remove this \\fr and the address. TNs do not use them.					
132	17.1.1		char	tbb		text() = '_'					err-char-tbb--17-1-1	This \tbb __\tbb* has less than the required 2 underscore characters.		XXD 1:27			
133	17.1.2		char	tbb		text() = '___' or text() = '____'				mid	err-char-tbb-mid-17-1-2	This \tbb __\tbb* has more than 2 underscore characters.		XXD 1:27			
134	17.2		char	tbb	5	substring(preceding-sibling::node()[1],string-length(preceding-sibling::node()[1]),1) = ' '				pre	err-char-tbb-pre-17-2	There should not be a space before a \\tbb.		XXD 1:28			
135	17.3		char	tbb	10	substring(following-sibling::node()[1],1,1) = ' '				post	err-char-tbb-post-17-3	There should not be a space after a \\tbb*.		XXD 1:28			
136	18.1		para	ntn		pre=s3 s5 ntn tr ntn qp qns q1tn q2tn li1 li2 gra gj				pre	err-para-ntn-pre-18-1	An \\ntn should be preceeded by a \\s3, \\s5, \\tr, \\ntn, \\qp, \\qns, \\q1tn, \\q2tn, \\li1, \\li2, \\gra, or \\gj.		XXD 18:29-30			
137	19.1		para	s3	6	not(contains(text(),'General Comment on'))				mid	err-para-s3-mid-19-1	An \\s3 paragraph always starts with `General Comment on`		XXD 19:1		SC 2 Dec: @Neh 7:5b the text is correct but I still get the tag error. Also, the message should read 'An \\s3 paragraph always...'.	
138	19.2		para	s3	6	not($hascvref )				mid	err-para-s3-mid-19-2	This \\s3 paragraph is missing a valid chapter verse reference, or the colon is missing.		XXD 19:1			
139	19.3		para	s3	5	$hascvref and $hasspacecref	$refwordschapcolon != $prechapter			mid	err-para-s3-mid-19-3	The chapter number in this \\s3 does not match the current chapter number.		XXD 19:1			
140	19.4		para	s3		not($prevhyphen) and not($refvendash) and not($hasvlet)	$refcolonv != $preverse			mid	err-para-s3-mid-19-4	The verse number in this \\s3 does not match the current verse number in \\v above or the hyphen should be a en dash.		XXD 19:1		SC 5 Dec: This seems to be catching the hyphen, but the message then needs to read: 'The hyphen in this \\s3 needs to be an en dash'	
141	19.4.1		para	s3		not($prevhyphen) and not($refvendash) and $hasvlet	$refcolonvlet != $preverse			mid	err-para-s3-mid-19-4-1	The verse number in this \\s3 does not match the current verse number in \\v above.		XXD 19:1			
142	19.5		para	s3		$hassubvrange and $hascvref 	$refcolonvlet != $preverse			mid	err-para-s3-mid-19-5	The verse number in this \\s3 does not match the current verse number in \\v above.		XXD 19:2			
143	19.6		para	s3		($refvendash  and ($lastchartype = '#')) or (contains($reftype,'#$–#')  and ($lastchartype = '#'))	$refcolonvr2 != $preverse			mid	err-para-s3-mid-19-6	The last verse number in the range in this \\s3 does not match the current verse number in the \\v above.		XXD 19:2			
144	19.7		para	s3	5	$hascvref and $lastchartype  = '$'	$lastchar != substring($pres5text,string-length($pres5text),1)			mid	err-para-s3-mid-19-7	The ending verse part does not match the previous \\s5 verse part.	SC 21 Dec: Changed message. Otherwise OK.	XXD 19:2		2022-11-16 won't handle this range 5:6c-7==fixed now, 2022-12-16 test okay	
145	19.8		para	s3		post=ntn				mid	err-para-s3-mid-19-8	An \\s3 can only be followed by an \\ntn.		XXD 19:2			
146	20.3		char	tec		*[@style = 'f']				mid	err-char-tec-mid-20-3	A \\tec cannot contain a footnote (\\f ...\\f*). It must be after the \\tec*.		XXD 20:32		SC 6 Dec: not working. See XXD 1:32	
147	22.1		figure	fig	8	not($graparent)				pre	err-figure-fig-pre-22-1	A \\fig must only occur in a \\gra paragraph.		XXD 22:1-3			
148	22.11	TRUE	para		5	*[@style = 'fig']	not(@style = 'gra')			mid	err-para--mid-22-11	This is not an \\gra paragraph. A \\fig must only occur in a \\gra paragraph	IM 2023-02-28 22.1 is working so this is not needed now.		-		
149	22.2		para	gra	8	$countfig + $countf = 2	$countnode != 2			mid	err-para-gra-mid-22-2	This \\gra has all the required elements of \\fig and a footnote, but also has some other markup, extra spaces or text.	SC 6 Dec: This test does not seem to be working. Please make the message: 'This \\ntn must only have a \\fig and a footnote'.	XXD 22:4,8			
150	22.2.1		figure	fig		$curpos != 1				pre	err-figure-fig-pre-22-2-1	The \\fig must be the first item in a \\gra paragraph.	SC 6 Dec: This test does not seem to be working. Please make the message: 'This \\ntn must only have a \\fig and a footnote'.	XXD 22:5			
151	22.2.2	TRUE	para	gra		$countfig + $countf = 2	$nodecount != 2				err-para-gra--22-2-2	This \\gra has all the required elements of \\fig and a footnote, but also has some other markup, extra spaces or text.	same as 22.2		-		
152	22.3		note	f		$graparent	not(preceding-sibling::*[1][@style = 'fig'] )			pre	err-note-f-pre-22-3	The sequence should be \\fig...\\fig*\\f...\\f*. Note no space after \\fig*.		XXD 22:6			
153	22.4		link	jmp		not($gjparent) and $containsclickhere				pre	err-link-jmp-pre-22-4	This ‘Click here...’ \\jmp should occur as the only item in a \\gj paragraph. The \\gj  para should be immediately after a \\gra paragraph.		XXD 22:3-4			
154	22.5		note	f		@caller != '*'				pre	err-note-f-pre-22-5	The caller for the \\f must be *.		XXD 22:7			
155	22.6		figure	fig	2	$hascoloncvref and not($hasspaceinref)	$refattchap != $prechapter			mid	err-figure-fig-mid-22-6	The referenced chapter number for the \\fig does not match the current chapter number.		XXD 22:9			
156	22.6.2		figure	fig	2	$hascoloncvref and $hasspaceinref				mid	err-figure-fig-mid-22-6-2	The reference in this \\fig should not contain a book code, and the full stop between chapter and verse must be a colon.		XXD 22:6			
157	22.6.3	TRUE	figure	fig	2	not($hascoloncvref) and not($hasspaceinref)	$refattchapdot != $prechapter			mid	err-figure-fig-mid-22-6-3	The referenced chapter number for the \\fig does not match the preceding \\c number.			-		
158	22.6.4	TRUE	figure	fig	2	not($hascoloncvref) and $hasspaceinref	substring-after($refattchapdot,' ') != $prechapter			mid	err-figure-fig-mid-22-6-4	The referenced chapter number for the \\fig does not match the preceding \\c number.			-		
159	22.7		figure	fig		$hascoloncvref and not($hasspaceinref)	$refattverse != $preverse			mid	err-figure-fig-mid-22-7-2	The referenced verse number for the \\fig does not match the current verse number.		XXD 22:7			
160	22.7.2		figure	fig		not($hascoloncvref)				mid	err-figure-fig-mid-22-8	The reference should be chapter number then colon then verse number. No book code.		XXD 22:1,3-8			
161	22.8		para	gra		$countfig + $countf = 1	$countf = 0			mid	err-para-gra-mid-22-8	This \\gra paragraph is missing the copyright footnote.		XXD 22:10			
162	22.9		para	gj		$countjmp = 0				mid	err-para-gj-mid-22-9	This \\gj paragraph is missing a ‘Click here...’ jump link ( \\jmp).		XXD 22:11			
163	22.9.1		para	gj		$countnode != 1				mid	err-para-gj-mid-22-9-1	This \\gj paragraph should contain only one ‘Click here...’ \\jmp item, and no other text or markup.		XXD22:12			
164	22.9.2		para	gj		pre=gra				pre	err-para-gj-pre-22-9-2	The paragraph preceding this \\gj paragraph is not a \\gra.		XXD 22:2,3			
165	22.10.		para	gra		$countfig + $countf = 1	$countfig = 0			mid	err-para-gra-mid-22-10-	This \\gra paragraph is missing a \\fig.		XXD 22:12			
166	23.1		para			not(@style = 'b') and not(@style = 'b2') 	string-length(text()) = 0 and count(*) = 0			mid	err-para--mid-23-1	This paragraph type should not be empty. Allowed are \\b and on rare occasion \\b2.		XXD 1:35, 23:1			
167	23.2		para	b2		following-sibling::*[1][@style = 'b']				pre	err-para-b2-pre-23-2	A \\b2 should not precede a \\b.		XXD 23:2			
168	23.3		para	b		following-sibling::*[1][@style = 'b2']				post	err-para-b-post-23-3	A \\b2 should not follow a \\b.		XXD 23:3			
169	23.4		para	b2		count(node()) > 0				mid	err-para-b2-mid-23-4	A \\b2 paragraph should be empty.		XXD 23:1			
170	23.5		para	b		count(node()) > 0				mid	err-para-b-mid-23-5	A \\b paragraph should be empty.		XXD 23:1			
171	24.1		para	ntn		char[@style = 'tec']				mid	err-para-ntn-mid-24-1	An \\ntn should not contain a \\tec.		XXD 24:1			
172	25.1	TRUE	para	n1		next-pair=n2 n3					err-para-n1--25-1				-		
173	26.1		para		5	contains(text(),$sq) or contains(text(),$dq) 				mid	err-para--mid-26-1	This paragraph contains a straight quote mark. It should be a curly quote mark.		XXD 26:1			
174	26.2		char		5	contains(text(),$sq) or contains(text(),$dq) 				mid	err-char--mid-26-2	This character SFM contains a straight quote mark. It should be a curly quote mark.		XXD 26:1			
175	26.3		cell			contains(text(),$sq) or contains(text(),$dq) 				mid	err-cell--mid-26-3	This table cell contains a straight quote mark. It should be a curly quote mark.		XXD 26:1			
											err----						
																	
																	
																	
	175	57															
	118	-															
