grp	sc-r	ref	disable	element	style	rank	test	test2	class-extra	message	note	Valid_error	Invalid_error	note_prior	note_prior_prior
TNND	153	3.1	TRUE	table			not(following-sibling::*[2][@style = 's5'] )			The \\tr is not followed by a \\s5 after a \\ntn	SC 22 Dec: Refinement: It is incorrect to have the \s5 above a \tr, \b or not.		-		
TNND	154	3.21	TRUE	para	p		$next1-3-21 > $next2-3-21			A \\p containg a \\v must have a \\s5 following it.	SC 22 Dec: See XXD 3.6, \p \v \n1 sequence should be flagged. Also a \p \v \b \n1 sequence s/b flagged too.		-		
TNND	155	3.22	TRUE	para	b3		$next1-3-22 > $next2-3-22			A \\b3 containg a \\v must have a \\s5 following it.	SC 22 Dec: Ditto above but for \b3 ...		-		
TNND	156	4.1	TRUE	table			not(preceding-sibling::*[1][@style = 'b'])			The \\tr should be preceeded by a \\b.	(SC: redundant with 7.3)		-		
TNND	157	4.2		row	tr		cell[2]/@style = 'tc1'			The second column must be a \\tc2 in \\tr.		XXD  1:2			
TNND	158	4.3		row	tr		cell[1]/@style = 'tc2'			The first column must be a \\tc1 in \\tr.		XXD  1:3			
TNND	159	4.4		cell	tc1		count(following-sibling::cell) = 0 and @style = 'tc1'	not(*[@style = 'sbx'] or contains(text(),'Paragraph'))	mid	A \\tc1 must contain either an \\sbx or the word ‘Paragraph’.		xxd 1:4			
TNND	160	4.5	TRUE	char	sbx	2	following-sibling::*[2][@style = 'sbx']	not(following-sibling::node()[1]/@style = 'tbb']		A \\tbb must follow this \\sbx.	(SC: redundant with 4.7 & 4.8)		-		
TNND	161	4.6	TRUE	char	sbx		not(following-sibling::*[2][@style = 'sbx'] and following-sibling::*[1][@style = 'tbb'])	not(*[@style = '+tbb'])		The parts of the \\sbx should be separated by a \\+tbb __\\+tbb*.	(SC: redundant with 4.7 & 4.8)		-		
TNND	162	4.7		cell	tc1		$countsbx > 1	$counttbb + 1 != $countsbx	mid	These \\sbx should be separated by \\tbb __\\tbb*.		XXD 1:5			
TNND	163	4.8		cell	tc1		$countsbx = 1	count(*/*[@style = '+tbb']) = 0 and $counttbb = 0	mid	The address and the heading should be separated by this: \\sbx*\\tbb __\\tbb*\\sbx .		XXD 1:5			
TNND	164	4.9		cell	tc1	5	$countprenode > 1			A \\tc1 can only occur as the first SFM in a \\tr.	2023-03-27 addded to show instead of 4.4 in XXD 1:2 first \tr	XXD 1:2			
TNND	165	5.1	TRUE	para	s5		pre=b3		pre	A \\b3 must occur before a \\s5	SC 22 Dec: I put in an example for this test at xxd 5.1		-		
TNND	166	5.2	TRUE							nothing	SC 22 Dec: Like 5.1, this test should be written for \s5 and  \p. I put in an example for this test at xxd 105.1		-		
TNND	167	6.1		table			$containspart and $hasfollowingtable	$notposttabledivision	post	When you have a Part Box, a Division Box must occur after the Part summary.  (But any \tr in the Part summary will cause a false positive.)		XXD 6:2			
TNND	168	6.11	TRUE	char	sbx		contains(text(),'Section ')	not(containing(preceding::row[1]//*[1]/text(),'Division')		When you have a '\\tr \tc1 \\sbx Part ...' the following \\tr should have have '\\tr \tc1 \\sbx Division ...'			-		
TNND	169	6.2		table			$containsdivision and $hasfollowingtable	$notposttablesection	post	When you have a Division Box, a Section Box must occur after the Division summary. (But any \tr in the Div. summary will cause a false positive.)		XXD 6:3			
TNND	170	6.3		table			$containssection and $hasfollowingtable	$notposttableparagraph	post	When you have a Section Box, a Paragraph Box must occur after the Section summary. (But any \\tr in the Section summary will cause a false positive.)		XXD 6:4,5			
TNND	171	6.4	TRUE	row	tr		$hastrpart and not($parentpresib2 = 'c')	not($parentpresib = 'b' or ($parentpresib2 = 'b' and $parentpresib = 'b3') or ($parentpresib2 = 'b' and $parentpresib = 'p'))	pre	A \\tr must be preceded by a \\b immediately before it or before the \\b3 or \\p above it.		XXD 6:4	-		
TNND	172	6.5	TRUE	row	tr		$hastrdivision and not($parentpresib2 = 'c')	not($parentpresib = 'b' or ($parentpresib2 = 'b' and $parentpresib = 'b3') or ($parentpresib2 = 'b' and $parentpresib = 'p'))	pre	A \\tr must be preceded by a \\b imediately before or before the \\b3 or \\p		XXD 7:10	-		
TNND	173	6.6	TRUE	row	tr		$hastrsection and not($parentpresib2 = 'c')	not($parentpresib = 'b' or ($parentpresib2 = 'b' and $parentpresib = 'b3') or ($parentpresib2 = 'b' and $parentpresib = 'p'))	pre	A \\tr must be preceded by a \\b imediately before or before the \\b3 or \\p		XXD 7:11	-		
TNND	174	6.7	TRUE	row	tr		$hastrparagraph and not($parentpresib2 = 'c')	not($parentpresib = 'b' or ($parentpresib2 = 'b' and $parentpresib = 'b3') or ($parentpresib2 = 'b' and $parentpresib = 'p'))	pre	A \\tr must be preceded by a \\b imediately before or before the \\b3 or \\p			-		
TNND	175	6.8		row	tr		$containspart or $containsdivision or $containssection	not($parentpostsib = 'ntn')	post	An \\ntn is used for the summary under a Part, Division or Section Box.		XXD 6:9			
TNND	176	6.9	TRUE	row	tr		$hastrdivision	not($parentpostsib = 'ntn')	post	An \\ntn must follow a Division Box.		XXD 6:8	-		
TNND	177	6.11	TRUE	row	tr		$hastrsection	not($parentpostsib = 'ntn')	post	An \\ntn must follow a Section Box.		XXD 6:7	-		
TNND	178	7.1.1		para	b3		$curverse = 1	$postsib = 'b'	post	A \\b para is not needed after the \\b3 \\v 1 (start of chapter).	IM updated 2023-07-19	XXD 7:1, 4:1, 8:1			
TNND	179	7.1.2		para	p		$curverse = 1	$postsib = 'b'	post	A \\b para is not needed after a \\p \\v 1 (start of chapter).	IM updated 2023-07-19	XXD 17:1, 18:1			
TNND	180	7.1.3		para	b3		$curverse != 1	$presib = 'b'	pre	A \\b should be after the \\b3 \\v stuff, not before it.	IM updated 2023-07-19	XXD 7.2,3			
TNND	181	7.1.4		para	p		$curverse != 1	$presib = 'b'	pre	A \\b should be after the \\p, \\v stuff not before it.	IM updated 2023-07-19	XXD 17:2,3			
TNND	182	7.2		table			($containsdivision or $containspart or $containssection or $containsparagraph) and not($presib2 = 'c')	not($presib = 'b' or ($presib = 'b' and $presib2 = 'b3') or ($presib = 'b' and $presib2 = 'p'))	pre	There should be a \\b before a \\tr (and after the \\p (or b3) \\v paragraph), except at v.1.	 IM updated 2023-07-19	XXD 7:10			
TNND	183	7.3	TRUE	table			$containssection and not($presib2 = 'c')	pre=p b3 b	pre	A \\b must precede a \\p or \\b3 paragraph and a Section Box, except at v.1.	ditto above, but if there is a Division, the \p \v will be above the Division rather than the Section	XXD 7:11	-		
TNND	184	7.4	TRUE	table			contains(row[1]/cell[1]/char[1]/text(),'Part') and not($presib2 = 'c')	pre=p b3 b	pre	A \\b must precede a \\p or \\b3 paragraph and a Part Box, except at v.1.	ditto above	XXD 7:12	-		
TNND	185	7.5	TRUE	table			contains(row[1]/cell[1]/text(),'Paragraph') and not($presib2 = 'c')	pre=p b3 b	pre	A \\b must precede a \\p \\v and a Paragraph Box, except for verse 1.	ditto above	XXD 7:13	-		
TNND	186	7.6	TRUE	table			contains(row[1]/cell[1]/char[1]/text(),'Division') and not(following-sibling::*[1][name() = 'chapter'])	post=s5 tr ntn	post	A \\s5 must follow a \\tr \\tc1 Division if there is no Section Box below it.	SC 22 Mar : messages for 7.6-9 changed.		-		
TNND	187	7.7	TRUE	table			contains(row[1]/cell[1]/char[1]/text(),'Section') and not(following-sibling::*[1][name() = 'chapter'])	post=s5 tr ntn	post	A \\s5 paragraph must follow a \\tr \\tc1 Section if there is no Paragraph Box below it.			XXD 1:13		
TNND	188	7.8	TRUE	table			contains(row[1]/cell[1]/char[1]/text(),'Part') and not(following-sibling::*[1][name() = 'chapter'])	post=s5 tr ntn	post	A \\s5 paragraph must follow a \\tr \\tc1 Part if there is no Division Box below it.		XXD 26:1	-		
TNND	189	7.9	TRUE	table			contains(row[1]/cell[1]/text(),'Paragraph') 	post=s5 tr ntn	post	A \\tr Paragraph Box needs a \\s5, \\tr, or \\ntn after it.		XXD 26:1	-		
TNND	190	7.10.1		para	p		($curverse != 1) and $posttable	not($postsib = 'b' or ( $postsib = 'rem' and $postsib2 = 'b'))	post	A \\tr needs a \\b above it (below the \\p \\v stuff), except @ v.1.	IM updated 2023-07-19	XXD 7:10			
TNND	191	7.10.2		para	b3		($curverse != 1) and $posttable	not($postsib = 'b' or ( $postsib = 'rem' and $postsib2 = 'b'))	post	A \\tr needs a \\b above it (below the \\b3 \\v stuff), except @ v.1.	IM updated 2023-07-19	XXD 7:10-13			
TNND	192	8.1		para	s5		$hascvref and $numbfirst 	$refchapcolon != $prechapter	mid	The chapter number in this \\s5 should match the current chapter number.		XXD 8:1			
TNND	193	8.1.2	TRUE	para	s5		$hascvref and $numbfirst and not($hasvlet)						-		
TNND	194	8.21		para	s5		not($prevhyphen) and not($refvendash) and not($hasvlet)	$currefv != $preverse	mid	The verse number in this \\s5 should match the current verse number.		XXD 8:2			
TNND	195	8.21.2		para	s5		not($prevhyphen) and not($refvendash) and $hasvlet	$currefv != $preverse	mid	The verse number in this \\s5 should match the current verse number.		8:20 (\s5 8:19c)			
TNND	196	8.22		para	s5	5	not($prevhyphen) and $refvendash and not($hasvlet)	$currefv1 != $preverse	mid	The first verse number in the range in this \\s5 should match current verse number.		XXD 8:2			
TNND	197	8.23		para	s5		$prevhyphen and $refvendash and $countpres5post-p = 0	$currefv1 != $preverser1	mid	The first verse number in the range in this \\s5 should match the first number of current verse range.		XXD 8:3-5			
TNND	198	8.24	TRUE	para	s5		contains(.,'.')			This \\s5 should not contain a period.	SC 5 Dec: This test looks redundant to 8:25. Delete?		-		
TNND	199	8.25		para	s5	10	not(contains(.,':'))		mid	This \\s5 must contain a colon between the chapter and verse.		XXD 8:6			
TNND	200	8.26		para	s5		$prevhyphen and not($refvendash)	($currefv < $preverser1) or ($currefv > $preverser2)	mid	The verse number in this \\s5 must be within the preceding \\v verse range.		XXD 8:16-17			
TNND	201	8.27		para	s5		$prevhyphen and $refvendash	($currefv1 < $preverser1) or ($currefv1 > $preverser2) or ($currefv2 < $preverser2) or ($currefv2 > $preverser2)	mid	The verse numbers in this \\s5 verse range must be within the verse range of the preceding \\v.		XXD 8:16-17			
TNND		8.28		para	s5	5	($countsib2next-s5 >= $countsib2next-p and $countnext-s5 = $countnext-p) and $prevhyphen = true() and $refvendash = false()	$preverser2 != $currefv	pre	This \\s5 is the last one in the set, the verse reference in this \\s5 does not match the last verse of the preceding \\p verse range.					
TNND		8.29		para	s5	5	($countsib2next-s5 >= $countsib2next-p and $countnext-s5 = $countnext-p) and $prevhyphen = true() and $refvendash = true()	$preverser2 != $currefv2	pre	This \\s5 is the last one in the set, the last verse reference in this \\s5 does not match the last verse of the preceding \\p verse range.					
TNND		8.31		para	s5				pre	This first \\s5 of the set should include the first verse in the \\v verse range here.					
TNND		8.32		para	s5				pre						
TNND	206	8.3		para	s5		string-length(translate(.,$validcvnumbletpunc,'')) > 0	not($hasreordered)	mid	This \\s5 reference has invalid character(s). Numbers, colon, en dash, and letters a–j are allowed.	SC 22 Dec: Can we make this go to 10 (a-j) rather than 8 (a-h)? 	XXD 8:18			
TNND	207	8.3.1		para	s5		string-length(translate(text()[1],$validreorderedcvnumbletpunc,'')) > 0	$hasreordered and $hastbb	mid	This \\s5 reference has invalid character(s). Numbers, colon, en dash, comma, and letters a–j are allowed.					
TNND	208	8.3.2		para	s5		string-length(translate(.,$validreorderedcvnumbletpunc,'')) > 0	$hasreordered and not($hastbb)	mid	This \\s5 reference is reordered and does not contain a \\tbb between the verse reference and the (reordered) part.					
TNND	209	8.4.1		cell	tc1		$hasspacecref and $hascvref and not(contains($preverse,'-')) and contains(.,'–') and $notsbxchild	$refcolonvr1 != $preverse	mid	The first verse of the range in this Paragraph Box does not match the current verse number in \\v above.		XXD 8:20			
TNND	210	8.4.2		cell	tc1		$hascvref and not(contains($preverse,'-'))  and not(contains(.,'–')) and $containsparagraph	$refcolonvnumb != $preverse	mid	The verse in this Paragraph Box does not match the current verse number in \\v above.		XD 1:15			
TNND	211	8.4.3		char	sbx		$hascvref and not(contains($preverse,'-')) and contains(.,'–')	$refcolonvr1 != $preverse	mid	The first verse of the range in this \\sbx does not match the current verse number in \\v above.		XXD 8:20			
TNND	212	8.4.4		char	sbx		$hascvref and not(contains($preverse,'-'))  and not(contains(.,'–'))	$refcolonv != $preverse	mid	The verse in this \\sbx does not match the current verse number in \\v above. (Or you maybe using an em dash rather than an en dash.)		XXD 1:13 but hidden by #9.6			
TNND	213	8.4.5		char	sbx		$hasspacecref  and $hascvref 	$refwordschapcolon != $prechapter	mid	The chapter in this \\sbx does not match the current chapter number.		XXD 8:19			
TNND	214	8.4.6		cell	tc1		$hasspacecref and $hascvref 	$refwordschapcolon != $prechapter	mid	The chapter in this \\tc1 does not match the current chapter number.	excludes if contains sbx	XXD 8:19			
TNND	215	8.4.7		char	sbx		$numbfirst and $hascvref	$refchapcolon != $prechapter	mid	The chapter in this \\sbx does not match the current chapter number.		XXD 23:1, 4:1			
TNND	216	8.4.8		cell	tc1		$numbfirst and $hascvref and $notmultirowtable and $containsparagraph	$refchapcolon != $prechapter	mid	The chapter in this \\tc1 does not match the current chapter number.	Not sure this ever occurs	XXD 8:3-5			
TNND	217	9.1		para			contains(translate(.,$numb,$numbsub),'#:#')	contains(translate(translate(.,$letlc,''),$numb,$numbsub),'#-#')	mid	The hyphen in a verse range in this paragraph should be an en dash.		XXD 9:1-3		SC 5 Dec: XXD 1:11 has several examples that should be flagged but are not.	
TNND	218	9.11	TRUE	cell	tc1	8	$hascvref	contains(translate(translate(.,$letlc,''),$numb,$numbsub),'#-#')		The hyphen in the verse range in this \\tc1 should be an en dash.			-		
TNND	219	9.12	TRUE	char	sbx		$hascvref and contains(translate(translate(.,$letlc,''),$numb,$numbsub),'#-#')			The hyphen in the verse range in this \\sbx should be an en dash.	SC 22 Dec: yes, delete this test.		-	SC 15 Dec: Since rule 9.11 and 9.12 catch the mistake at XXD 1:13, maybe we don't need this rule?	
TNND	220	9.13	TRUE	para	n1		$hascvref	contains(translate(.,$validcvnumblet,$validcvnumbletsub),'$-$') or contains(translate(.,$validcvnumblet,$validcvnumbletsub),'$-#') or contains(translate(.,$validcvnumblet,$validcvnumbletsub),'#-#')		The hyphen in a range in this paragraph should be an en dash.	SC 22 Dec: not working.		-		
TNND	221	9.14	TRUE	para	n2		$hascvref	contains(translate(.,$validcvnumblet,$validcvnumbletsub),'$-$') or contains(translate(.,$validcvnumblet,$validcvnumbletsub),'$-#') or contains(translate(.,$validcvnumblet,$validcvnumbletsub),'#-#')		The hyphen in a range in this paragraph should be an en dash.			-		
TNND	222	9.15	TRUE	para	n3		$hascvref	contains(translate(.,$validcvnumblet,$validcvnumbletsub),'$-$') or contains(translate(.,$validcvnumblet,$validcvnumbletsub),'$-#') or contains(translate(.,$validcvnumblet,$validcvnumbletsub),'#-#')		The hyphen in a range in this paragraph should be an en dash.			-		
TNND	223	9.16	TRUE	para	s5	8	$hascvref	contains(translate(.,$validcvnumblet,$validcvnumbletsub),'$-$') or contains(translate(.,$validcvnumblet,$validcvnumbletsub),'$-#') or contains(translate(.,$validcvnumblet,$validcvnumbletsub),'#-#')		The hyphen in a range in this paragraph should be an en dash.			-		
TNND	224	9.17	TRUE	para	ntn		$hascvref	contains(translate(.,$validcvnumblet,$validcvnumbletsub),'#-#')		The hyphen in a range in this paragraph should be an en dash.			-		
TNND	225	9.2		verse	v		contains(@number,'–')		mid	The en dash in the verse range in this \\v must be a hyphen.		XXD 9:1-3			
TNND	226	9.3		verse	v		contains(translate(@number,$validcvnumblet,$validcvnumbletsub),'#$-#') or contains(translate(@number,$validcvnumblet,$validcvnumbletsub),'#$')		mid	A \\v cannot have verse parts in it.		XXD 9:1-3		SC 5 Dec: This test is not working, see XXD 1:20. 	
TNND	227	9.4	TRUE	verse	v		contains(translate(@number,$validcvnumblet,$validcvnumbletsub)),'#$')			A verse number can’t have a verse part letter unless it is in a range.	SC 22 Dec: OK, it looks like rule 9.3 catches all the scenarios I was thinking of.		-	SC 16 Dec: Paratext does not want a letter anywhere in the verse field after the \v. Maybe make 9:3 more general to not allow a letter anywhere in the verse field? Actually, the only allowable characters are digits and the hyphen (between two sets of digits, not at the end, i.e., 23-, or at the beginning).	
TNND	228	9.5		cell			contains(translate(text(),$numb,$numbsub),'#:#')	contains(translate(translate(.,$letlc,''),$numb,$numbsub),'#-#')	mid	The hyphen in a verse range in this \\tr \\tc1 should be an en dash.		XXD 9:5 1:12			
TNND	229	9.6		char			contains(translate(.,$numb,$numbsub),'#:#')	contains(translate(translate(.,$letlc,''),$numb,$numbsub),'#-#')	mid	The hyphen in a verse range in this paragraph should be an en dash.		XXD 9:6			
TNND	230	10.1		para	n1	5	$counttec > 1		mid	There should be only one \\tec per \\n1 paragraph.		XXD 10:1 first \n1			
TNND	231	10.1.2		para	n2	5	$counttec > 1		mid	There not should be two or more \\tec in a \\n2 paragraph.		XXD 10:1 first \n2			
TNND	232	10.1.3		para	n3	5	$counttec > 1		mid	There should be only one \\tec per \\n3 paragraph.		XXD 10:1 first \n3			
TNND	233	10.1.4		para	n1	5	$counttec + $countteu  = 0 		mid	This \\n1 paragraph is missing a \\tec, or perhaps should be a \\n2 or a \\ntn.		XXD 10:1 second \n1			
TNND	234	10.1.5		para	n3	5	$counttec = 0	$counttrs = 0	mid	This \\n3 paragraph is missing a \\tec.		XXD 10:1 second \n3			
TNND	235	10.2.1		char	tec		$countpresibnode > 0		mid	The \\tec should be at the start of the paragraph (or you are not using an \\n1, \\n2, or \\n3 style).		XXD 10:2			
TNND	236	10.2.2		para	n3	5	$node1tec and $counttec = 1	$validtecfirst != '$'	mid	There should be text in a \\tec at the beginning of this \\n3 paragraph.		XXD 10:2 last \n3			
TNND	237	10.2.3		char	tec	5	$countpretec > 0		pre	This \\tec should not be here. There should be only one \\tec at the start of this paragraph.		XXD 10:1			
TNND	238	10.31		char	tec	5	$lastchar = ' '		mid	The last character of this \\tec should be a colon, not a space.		XXD 10:3 first two \n1			
TNND	239	10.32		char	tec	3	not($lastchar = ':')		mid	The last character of this \\tec should be a colon.		XXD 10:3 last two \n1			
TNND	240	10.33	TRUE	char	tec		not(contains(text()[last()],':'))		mid	This \tec does not contain an ending colon.	SC 16 Dec: This test seems redundant with 10:32		-		
TNND	241	10.4		char	trs		not(preceding-sibling::*[@style = 'tec']) 	not($ancestor= 'f' or $parent = 'n2' or $parent = 'li1' or $parent = 'hb1')	mid	A \\tec should precede this \\trs in the paragraph, or perhaps this paragraph should be an \\n2.	SC 23 Mar: Caught by #10.6	XXD 10:4			
TNND	242	10.5		char	tei		$countpren1 > $countpres5 or $parentpresibpos > $countpres5 	contains($pren1tec,text()) and not($ancestor = 'p') and not($ancestor = 'f') and not($ancestor = 'qp') and not($ancestor = 'q1tn') and not($ancestor = 'q2tn') and not($ancestor = 'qns') and not($ancestor = 'b3')	mid	Any repeat of the words found in the preceding \\tec should be in a \\trs, not in this \\tei.		XXD 10:5			
TNND	243	10.6		char	trs		$ellipsiscount = 0 and not(contains($pretec,.))	not(contains($pretec,$curspfield) and $teccharposttrs = '$') or  not($teccharpretrs = '$' or $teccharposttrs = '$') 	mid	The word/phrase in this \\trs is not found in the closest preceding \\tec, or is misspelled, or has wrong capitalization, or has punctuation that does not belong in the \\trs.		XXD 10:4,6			
TNND	244	10.6.1.1	TRUE	char	trs		$ellipsiscount = 0  and $spacecount = 0 and $lenstring > 3	not(contains($pretec,$curtrs))	mid	The word/phrase in this \\trs is not found in the closest preceding \\tec, or is misspelled, or has wrong capitalization, or has punctuation that does not belong in the \\trs.					
TNND	245	10.6.1.2	TRUE	char	trs		$ellipsiscount = 0  and $lenstring < 4	not(contains(concat(' ',$pretec),concat(' ',$curtrs)))	mid	The word/phrase in this \\trs is not found in the closest preceding \\tec, or is misspelled, or has wrong capitalization, or has punctuation that does not belong in the \\trs.					
TNND	246	10.6.2		char	trs		$ellipsiscount = 1	not(contains($pretec,$split2ellipsisstring1) and contains($pretec,$split2ellipsisstring2))	mid	The word or phrase in this \\trs are not found in the preceding \\tec.		XXD 10:6			
TNND	247	10.6.3		char	trs		$ellipsiscount = 2	not(contains($pretec,$split2ellipsisstring1) and contains($pretec,$split3ellipsisstring2) and contains($pretec,$split3ellipsisstring3))	mid	The word or phrase in this \\trs are not found in the preceding \\tec.					
TNND	248	10.6.4		char	trs		$ellipsiscount = 3	not(contains($pretec,$split2ellipsisstring1) and contains($pretec,$split3ellipsisstring2) and contains($pretec,$split4ellipsisstring3) and contains($pretec,$split4ellipsisstring4))	mid	The word or phrase in this \\trs are not found in the preceding \\tec.					
TNND	249	10.6.5	TRUE	char	trs		not($hasellipsis)	contains($pretec,.) and ($teccharpretrs = '$' or $teccharposttrs = '$')		The word/phrase in this \\trs is not found in the closest preceding \\tec, or is misspelled, or has wrong capitalization, or has punctuation that does not belong in the \\trs.					
TNND	250	11.1		char	tec		translate(substring(.,1,1),$invalidtecfirstpunc,'%%') = '%'		mid	The first character should not be punctuation unless you are specifically talking about that punctuation in this Note, or it is a short quote within a larger text.		XXD 11:1		SC 5 Dec: not working. See XXD  1:22	
TNND	251	11.2	TRUE	char	tec		translate($lastchar2,$invalidtecendpunc,$invalidtecendpuncsub) = '%'		mid	The last character before the colon should not be punctuation unless it is a question, or exclamation mark, or an end quote mark needed for the Note, or a short quote within a larger text.		XXD 11:2			
TNND	252	11.2.1	TRUE	char	tec	5	contains(.,$sq)		mid	This \\tec contains a straight single quote.	see 26.2		-		
TNND	253	11.2.2	TRUE	char	tec	5	contains(.,$dq)		mid	This \\tec contains a straight double quote.	see 26.2		-		
TNND	254	12.1		para	n1		$counttec > 0 and contains($pren1tec,$curtec) and $precharn1tec != '$' and $postcharn1tec != '$'	$countpres5 < $countpren1	mid	The contents of this \\n1 \\tec is a portion of the previous \\n1 \\tec. Perhaps this should be an \\n2?		XXD 1:26		SC 5 Dec: not working. See XXD  1:24-6	
TNND	255	12.2		para	n2	8	$counttec > 0 and contains($pren2tec,$curtec) and $precharn2tec != '$' and $postcharn2tec != '$'	$countpren1 < $countpren2 and $countpres5 < $countpren2	mid	The contents of this \\n2 \\tec is a portion of the previous \\n2 \\tec. Perhaps this should be an \\n3?		XXD 1:26		SC 16 Dec: message wording changed.	
TNND	256	12.3	TRUE	para	n3	3	child::*[@style = 'tec'] and contains($pren3tec,$curtec)	$countpres5 < $countpren3		The contents of this \\n3 \\tec should not be in the previous \\n3 \\tec	SC 16 Dec: Remove this test. Sometimes we will get repeats here because there is no n4.		-		
TNND	257	12.4	TRUE	para	n1		not(contains(*[@style = 'tec'][1],following-sibling::*[@style = 'n2'])/*[@style = 'tec'])			nothing			-		
TNND	258	12.5	TRUE	para	n2		not(contains(*[@style = 'tec'][1],following-sibling::*[@style = 'n3'])/*[@style = 'tec'])			nothing			-		
TNND	259	12.6		para	n3	5	not(contains($pren2tec,$curtec) or contains($pren1tec,$curtec))	$hastecchild and not($hastecversion) and not($hastecellipsis)	mid	The contents of this \\n3 \\tec are not found in the preceding \\n2 or \\n1 \\tec.		XXD 12:2			
TNND	260	12.6.1		para	n3	5	not((contains($pren2tec,$curtecpreellipsis) and contains($pren2tec,$curtecpostellipsis)) or (contains($pren1tec,$curtecpreellipsis) and contains($pren1tec,$curtecpostellipsis)))	$countpres5 < $countpren2 and $countpres5 < $countpren1 and $hastecellipsis and $hastecchild and not($hastecversion)	mid	The contents of this \\n3 \\tec are not found in the preceding \\n2 or \\n1 \\tec.		XXD 12:6			
TNND	261	12.6.2		para	n3		not((contains($pren2tec,$curtecverpreellipsis) and contains($pren2tec,$curtecpostellipsis)) or (contains($pren1tec,$curtecverpreellipsis) and contains($pren1tec,$curtecpostellipsis)))	$hastecellipsis and $hastecchild  and $hastecversion	mid	The contents of this \\n3 \\tec are not found in the preceding \\n2 or \\n1 \\tec.					
TNND	262	12.6.3		para	n3		not(contains($pren2tec,$curtecver) or contains($pren1tec,$curtecver))	not($hastecellipsis) and $hastecchild and $hastecversion	mid	The contents of this \\n3 \\tec are not found in the preceding  \\n2 or \\n1 \\tec.					
TNND	263	12.7		para	n2	5	not(contains($pren1tec,$curtec))	$countpres5 < $countpren1 and $hastecchild and not($hastecellipsis) and not($hastecversion)	mid	The contents of this \\n2 \\tec are not found in the preceding \\n1 \\tec. Perhaps this should be an \\\n1?		XXD 1:26,27			
TNND	264	12.7.1		para	n2	5	not(contains($pren1tec,$tec1ellipsis1) and contains($pren1tec,$tec1ellipsis2)) 	$countpres5 < $countpren1 and $hastecchild and $counttecellipsis = 1 and not($hastecversion)	mid	The contents of this \\n2 \\tec are not found in the preceding \\n1 \\tec.		XXD 12:7			
TNND	265	12.7.2		para	n2	5	not(contains($pren1tec,$tec1ellipsis1) and contains($pren1tec,$tec2ellipsis2)  and contains($pren1tec,$tec2ellipsis3)) 	$countpres5 < $countpren1 and $hastecchild and $counttecellipsis = 2 and not($hastecversion)	mid	The contents of this \\n2 \\tec are not found in the preceding \\n1 \\tec.					
TNND	266	12.7.3		para	n2	5	not(contains($pren1tec,$tec1ellipsis1) and contains($pren1tec,$tec2ellipsis2)  and contains($pren1tec,$tec3ellipsis3)  and contains($pren1tec,$tec3ellipsis4)) 	$countpres5 < $countpren1 and $hastecchild and $counttecellipsis = 3 and not($hastecversion)	mid	The contents of this \\n2 \\tec are not found in the preceding \\n1 \\tec.					
TNND	267	12.7.4		para	n2	5	not(contains($pren1tec,$tec1ellipsis1) and contains($pren1tec,$tec2ellipsis2)  and contains($pren1tec,$tec3ellipsis3)  and contains($pren1tec,$tec3ellipsis4)) 	$countpres5 < $countpren1 and $hastecchild and $counttecellipsis = 4 and not($hastecversion)	mid	The contents of this \\n2 \\tec are not found in the preceding \\n1 \\tec.					
TNND	268	12.7.5		para	n2	5									
TNND	269	12.7.2	TRUE	para	n2			$countpres5 < $countpren1 and $hastecchild and not($hastecellipsis)	mid	The contents of this \\n2 \\tec is not found in the preceding  \\n1 \\tec.			-		
TNND	270	12.7.3		para	n2		not(contains($pren1tec,$tec1ellipsis1) and contains($pren1tec,$tec2ellipsis2)  and contains($pren1tec,$tec3ellipsis3) and contains($pren1tec,$tec4ellipsis4)  and contains($pren1tec,$tec4ellipsis5)) 	$countpres5 < $countpren1 and $hastecchild and $hastecellipsis and $hastecversion	mid	The contents of this \\n2 \\tec are not found in the preceding \\n1 \\tec.					
TNND	271	12.7.4		para	n2		not(contains($pren2tec,$curtecver) or contains($pren1tec,$curtecver))	$countpres5 < $countpren1 and $hastecchild and not($hastecellipsis) and $hastecversion	mid	The contents of this \\n2 \\tec are not found in the preceding \\n1 \\tec.					
TNND	272	12.8.1		para	n2		$countpres5 > $countpren1	child::*[@style = 'tec']	pre	There is no \\n1 preceding this \\n2. It should be an \\n1.		XXD 12:4		SC: 16 Dec: added test at 12:4, not working	
TNND	273	12.8.2		para	n3	5	$countpres5 > $countpren2		pre	The \\n3 occurs before any \\n2 in this \\s5 note group.		XXD 12:5; 12.7			
TNND	274	12.8.3	TRUE	para	n3		not(contains($pren1tec,$curtec))	$countpres5 < $countpren1	pre	This should be an \\n1 paragraph since the content is not found in the preceding \\n1 \\tec.			-		
TNND	275	12.9	TRUE	char	tec		($countpres5 < $countpren2) and ($countpres5 < $countpren1) and not($hasellipsis)	not(contains($pretec,.))	mid	The contents of this \\tec is not found in the preceding \\tec.			-		
TNND	276	12.9.1	TRUE	char	tec		$countpres5 < $countpren2 and $countpres5 < $countpren1 and $hasellipsis 	not(contains($pretec,$preellipsisstring) and contains($pretec,$postellipsisstring))	mid	The contents of this \\tec is not found in the preceding \\tec.			-		
